input_prompt,response,category,context
How can I handle upset in my life?,[Response Placeholder],Sleep Problems,Future Uncertainty
How do I stop hopeless?,[Response Placeholder],Anger,Feeling Unsupported
Why does angry feel so overwhelming?,[Response Placeholder],Sadness,Self-Worth
How do I stop angry?,[Response Placeholder],Relationship Issues,Trouble Concentrating
What can I do when worthless affects me?,[Response Placeholder],Burnout,Work Stress
I'm struggling with unloved. Can you help?,[Response Placeholder],Depression,Regret
Can you help me with nervous?,[Response Placeholder],Depression,Procrastination
Why do I feel angry?,[Response Placeholder],Panic Attacks,Feeling Unsupported
I'm struggling with nervous. Can you help?,[Response Placeholder],Self-Esteem,Self-Worth
Why does overwhelmed feel so overwhelming?,[Response Placeholder],Anxiety,Emotional Exhaustion
What should I do when stressed?,[Response Placeholder],Sleep Problems,Decision-Making
How can I cope with guilty?,[Response Placeholder],Anger,Overthinking
Why does worried feel so overwhelming?,[Response Placeholder],Anxiety,Work Stress
How can I cope with anxious?,[Response Placeholder],Social Anxiety,Perfectionism
Why do I feel hopeless?,[Response Placeholder],Guilt,Emotional Exhaustion
What can I do when fearful affects me?,[Response Placeholder],Fear,Regret
Why do I always feel stressed?,[Response Placeholder],Guilt,Feeling Unsupported
Why does overwhelmed feel so overwhelming?,[Response Placeholder],Anger,Perfectionism
I'm struggling with insecure. Can you help?,[Response Placeholder],Anxiety,Regret
Why do I always feel unloved?,[Response Placeholder],Anxiety,Work Stress
How do I deal with worried?,[Response Placeholder],Burnout,Decision-Making
Can you help me with lonely?,[Response Placeholder],Loneliness,Feeling Unsupported
What should I do when stressed?,[Response Placeholder],Social Anxiety,Future Uncertainty
What can I do when I'm feeling overwhelmed?,[Response Placeholder],Burnout,Fear of Rejection
Why does insecure feel so overwhelming?,[Response Placeholder],Anxiety,Feeling Unsupported
How can I cope with overwhelmed?,[Response Placeholder],Fear,Trouble Concentrating
What should I do when stressed?,[Response Placeholder],Sleep Problems,Perfectionism
I'm struggling with upset. Can you help?,[Response Placeholder],Sleep Problems,Work Stress
What should I do when unloved?,[Response Placeholder],Self-Esteem,Fear of Rejection
Can you help me with lonely?,[Response Placeholder],Self-Esteem,Social Isolation
What should I do when guilty?,[Response Placeholder],Depression,Regret
I can't stop feeling guilty. What should I do?,[Response Placeholder],Anger,Overthinking
Why do I feel hopeless?,[Response Placeholder],Sadness,Work Stress
Can you help me with worthless?,[Response Placeholder],Relationship Issues,Procrastination
What can I do when anxious affects me?,[Response Placeholder],Relationship Issues,Decision-Making
How can I cope with lonely?,[Response Placeholder],Sleep Problems,Social Isolation
How do I stop insecure?,[Response Placeholder],Depression,Procrastination
Why do I always feel nervous?,[Response Placeholder],Panic Attacks,Self-Worth
How can I get over fearful?,[Response Placeholder],Sadness,Regret
What are some ways to manage upset?,[Response Placeholder],Social Anxiety,Fear of Rejection
Why do I always feel worthless?,[Response Placeholder],Sleep Problems,Insomnia
What should I do when nervous?,[Response Placeholder],Stress,Feeling Unsupported
What are some ways to manage angry?,[Response Placeholder],Panic Attacks,Body Image Issues
How do I stop anxious?,[Response Placeholder],Stress,Work Stress
What can I do when I'm feeling lonely?,[Response Placeholder],Grief,Perfectionism
Can you help me with unloved?,[Response Placeholder],Burnout,Insomnia
How do I stop unloved?,[Response Placeholder],Guilt,Self-Worth
What are some ways to manage fearful?,[Response Placeholder],Sleep Problems,Work Stress
How do I deal with overwhelmed?,[Response Placeholder],Grief,Future Uncertainty
How can I handle lonely in my life?,[Response Placeholder],Depression,Fear of Rejection
How can I cope with overwhelmed?,[Response Placeholder],Sadness,Feeling Unsupported
Can you help me with overwhelmed?,[Response Placeholder],Loneliness,Future Uncertainty
How can I handle anxious in my life?,[Response Placeholder],Anxiety,Body Image Issues
Why do I always feel overwhelmed?,[Response Placeholder],Self-Esteem,Future Uncertainty
What can I do when anxious affects me?,[Response Placeholder],Grief,Social Isolation
What can I do when I'm feeling angry?,[Response Placeholder],Depression,Self-Worth
What are some ways to manage nervous?,[Response Placeholder],Social Anxiety,Emotional Exhaustion
I can't stop feeling worthless. What should I do?,[Response Placeholder],Anger,Perfectionism
Can you help me with unloved?,[Response Placeholder],Loneliness,Body Image Issues
I'm struggling with fearful. Can you help?,[Response Placeholder],Fear,Feeling Unsupported
What can I do when guilty affects me?,[Response Placeholder],Stress,Insomnia
Why does anxious feel so overwhelming?,[Response Placeholder],Loneliness,Insomnia
How can I get over upset?,[Response Placeholder],Guilt,Fear of Rejection
I can't stop feeling unloved. What should I do?,[Response Placeholder],Sleep Problems,Overthinking
I can't stop feeling nervous. What should I do?,[Response Placeholder],Burnout,Future Uncertainty
What can I do when stressed affects me?,[Response Placeholder],Social Anxiety,Overthinking
Why does worthless feel so overwhelming?,[Response Placeholder],Relationship Issues,Fear of Rejection
I'm struggling with anxious. Can you help?,[Response Placeholder],Panic Attacks,Trouble Concentrating
What are some ways to manage anxious?,[Response Placeholder],Anger,Trouble Concentrating
Why do I feel lonely?,[Response Placeholder],Fear,Social Isolation
What should I do when overwhelmed?,[Response Placeholder],Loneliness,Emotional Exhaustion
What can I do when I'm feeling overwhelmed?,[Response Placeholder],Sleep Problems,Self-Worth
How do I deal with stressed?,[Response Placeholder],Burnout,Regret
Why do I feel stressed?,[Response Placeholder],Anger,Decision-Making
Why does guilty feel so overwhelming?,[Response Placeholder],Self-Esteem,Emotional Exhaustion
What can I do when I'm feeling worried?,[Response Placeholder],Stress,Emotional Exhaustion
How can I get over sad?,[Response Placeholder],Relationship Issues,Work Stress
I can't stop feeling hopeless. What should I do?,[Response Placeholder],Loneliness,Social Isolation
How can I cope with upset?,[Response Placeholder],Social Anxiety,Overthinking
I'm struggling with insecure. Can you help?,[Response Placeholder],Fear,Feeling Unsupported
Why does upset feel so overwhelming?,[Response Placeholder],Fear,Body Image Issues
What are some ways to manage insecure?,[Response Placeholder],Stress,Decision-Making
What can I do when I'm feeling lonely?,[Response Placeholder],Loneliness,Future Uncertainty
How do I deal with worried?,[Response Placeholder],Burnout,Fear of Rejection
How do I deal with worried?,[Response Placeholder],Depression,Overthinking
I'm struggling with fearful. Can you help?,[Response Placeholder],Anger,Procrastination
How do I stop angry?,[Response Placeholder],Fear,Future Uncertainty
How can I get over fearful?,[Response Placeholder],Relationship Issues,Fear of Rejection
What are some ways to manage anxious?,[Response Placeholder],Relationship Issues,Feeling Unsupported
How do I stop worried?,[Response Placeholder],Grief,Future Uncertainty
How do I deal with overwhelmed?,[Response Placeholder],Anger,Emotional Exhaustion
How can I handle lonely in my life?,[Response Placeholder],Burnout,Decision-Making
What can I do when I'm feeling insecure?,[Response Placeholder],Anger,Decision-Making
Why do I always feel angry?,[Response Placeholder],Loneliness,Procrastination
How can I handle fearful in my life?,[Response Placeholder],Social Anxiety,Perfectionism
How do I deal with hopeless?,[Response Placeholder],Panic Attacks,Future Uncertainty
Can you help me with lonely?,[Response Placeholder],Grief,Emotional Exhaustion
I can't stop feeling guilty. What should I do?,[Response Placeholder],Self-Esteem,Body Image Issues
What should I do when hopeless?,[Response Placeholder],Stress,Emotional Exhaustion
What can I do when I'm feeling unloved?,[Response Placeholder],Panic Attacks,Fear of Rejection
How do I stop guilty?,[Response Placeholder],Loneliness,Work Stress
How can I handle unloved in my life?,[Response Placeholder],Sleep Problems,Work Stress
Why do I feel unloved?,[Response Placeholder],Guilt,Decision-Making
What can I do when I'm feeling guilty?,[Response Placeholder],Anxiety,Feeling Unsupported
What can I do when lonely affects me?,[Response Placeholder],Panic Attacks,Trouble Concentrating
I can't stop feeling anxious. What should I do?,[Response Placeholder],Fear,Future Uncertainty
I'm struggling with worried. Can you help?,[Response Placeholder],Panic Attacks,Future Uncertainty
What are some ways to manage anxious?,[Response Placeholder],Fear,Self-Worth
What can I do when worried affects me?,[Response Placeholder],Loneliness,Regret
How can I get over insecure?,[Response Placeholder],Sadness,Insomnia
How can I handle overwhelmed in my life?,[Response Placeholder],Social Anxiety,Regret
What should I do when hopeless?,[Response Placeholder],Grief,Self-Worth
What can I do when I'm feeling anxious?,[Response Placeholder],Fear,Procrastination
What can I do when hopeless affects me?,[Response Placeholder],Social Anxiety,Future Uncertainty
How can I cope with anxious?,[Response Placeholder],Stress,Trouble Concentrating
How do I stop guilty?,[Response Placeholder],Panic Attacks,Future Uncertainty
What are some ways to manage upset?,[Response Placeholder],Depression,Decision-Making
How can I handle worthless in my life?,[Response Placeholder],Burnout,Future Uncertainty
How do I deal with insecure?,[Response Placeholder],Panic Attacks,Emotional Exhaustion
How can I handle fearful in my life?,[Response Placeholder],Self-Esteem,Overthinking
Why do I always feel nervous?,[Response Placeholder],Sadness,Procrastination
Can you help me with worthless?,[Response Placeholder],Anxiety,Overthinking
Why does hopeless feel so overwhelming?,[Response Placeholder],Fear,Emotional Exhaustion
What should I do when angry?,[Response Placeholder],Panic Attacks,Emotional Exhaustion
