input_prompt,response,category,context
What should I do when overwhelmed?,[Response Placeholder],Burnout,Trouble Concentrating
What can I do when I'm feeling unloved?,[Response Placeholder],Sadness,Future Uncertainty
Why do I feel upset?,[Response Placeholder],Self-Esteem,Emotional Exhaustion
How do I deal with lonely?,[Response Placeholder],Panic Attacks,Body Image Issues
What are some ways to manage overwhelmed?,[Response Placeholder],Panic Attacks,Social Isolation
How can I handle overwhelmed in my life?,[Response Placeholder],Relationship Issues,Perfectionism
Can you help me with upset?,[Response Placeholder],Sadness,Overthinking
What should I do when fearful?,[Response Placeholder],Depression,Self-Worth
What should I do when angry?,[Response Placeholder],Sleep Problems,Overthinking
What can I do when guilty affects me?,[Response Placeholder],Self-Esteem,Insomnia
How do I stop stressed?,[Response Placeholder],Self-Esteem,Overthinking
Why does worthless feel so overwhelming?,[Response Placeholder],Self-Esteem,Feeling Unsupported
I'm struggling with worthless. Can you help?,[Response Placeholder],Guilt,Overthinking
How can I handle lonely in my life?,[Response Placeholder],Relationship Issues,Insomnia
I can't stop feeling nervous. What should I do?,[Response Placeholder],Panic Attacks,Body Image Issues
What should I do when insecure?,[Response Placeholder],Burnout,Future Uncertainty
How do I stop anxious?,[Response Placeholder],Social Anxiety,Work Stress
Can you help me with lonely?,[Response Placeholder],Panic Attacks,Emotional Exhaustion
How do I deal with angry?,[Response Placeholder],Social Anxiety,Overthinking
Why do I always feel nervous?,[Response Placeholder],Depression,Future Uncertainty
How do I stop fearful?,[Response Placeholder],Grief,Overthinking
What are some ways to manage fearful?,[Response Placeholder],Panic Attacks,Emotional Exhaustion
Why do I feel upset?,[Response Placeholder],Social Anxiety,Body Image Issues
What can I do when worried affects me?,[Response Placeholder],Grief,Decision-Making
Why do I always feel anxious?,[Response Placeholder],Fear,Social Isolation
Why does insecure feel so overwhelming?,[Response Placeholder],Relationship Issues,Fear of Rejection
Why does nervous feel so overwhelming?,[Response Placeholder],Depression,Self-Worth
I'm struggling with anxious. Can you help?,[Response Placeholder],Depression,Overthinking
What can I do when I'm feeling angry?,[Response Placeholder],Sleep Problems,Feeling Unsupported
How can I handle sad in my life?,[Response Placeholder],Anxiety,Emotional Exhaustion
How can I get over overwhelmed?,[Response Placeholder],Self-Esteem,Future Uncertainty
Why does unloved feel so overwhelming?,[Response Placeholder],Fear,Body Image Issues
I'm struggling with lonely. Can you help?,[Response Placeholder],Sleep Problems,Body Image Issues
How do I stop worthless?,[Response Placeholder],Sleep Problems,Trouble Concentrating
Why do I always feel insecure?,[Response Placeholder],Relationship Issues,Feeling Unsupported
How can I cope with sad?,[Response Placeholder],Relationship Issues,Social Isolation
How do I stop worried?,[Response Placeholder],Guilt,Regret
What should I do when upset?,[Response Placeholder],Depression,Regret
What are some ways to manage nervous?,[Response Placeholder],Relationship Issues,Perfectionism
How do I deal with worried?,[Response Placeholder],Self-Esteem,Future Uncertainty
Why do I feel lonely?,[Response Placeholder],Anxiety,Work Stress
I'm struggling with sad. Can you help?,[Response Placeholder],Relationship Issues,Social Isolation
What can I do when I'm feeling overwhelmed?,[Response Placeholder],Anxiety,Work Stress
What are some ways to manage nervous?,[Response Placeholder],Social Anxiety,Fear of Rejection
Why does overwhelmed feel so overwhelming?,[Response Placeholder],Stress,Regret
How do I deal with worried?,[Response Placeholder],Anger,Overthinking
I'm struggling with sad. Can you help?,[Response Placeholder],Relationship Issues,Social Isolation
How can I handle hopeless in my life?,[Response Placeholder],Social Anxiety,Decision-Making
What should I do when guilty?,[Response Placeholder],Depression,Feeling Unsupported
How do I stop lonely?,[Response Placeholder],Loneliness,Future Uncertainty
What are some ways to manage insecure?,[Response Placeholder],Panic Attacks,Perfectionism
How can I cope with lonely?,[Response Placeholder],Guilt,Decision-Making
What can I do when worried affects me?,[Response Placeholder],Fear,Trouble Concentrating
How can I get over hopeless?,[Response Placeholder],Social Anxiety,Work Stress
How do I deal with worthless?,[Response Placeholder],Anger,Self-Worth
What can I do when I'm feeling nervous?,[Response Placeholder],Anxiety,Work Stress
How can I get over stressed?,[Response Placeholder],Loneliness,Regret
Can you help me with angry?,[Response Placeholder],Anxiety,Insomnia
I can't stop feeling guilty. What should I do?,[Response Placeholder],Depression,Overthinking
Why does guilty feel so overwhelming?,[Response Placeholder],Loneliness,Work Stress
Why do I always feel nervous?,[Response Placeholder],Grief,Work Stress
Why do I feel nervous?,[Response Placeholder],Self-Esteem,Procrastination
I can't stop feeling overwhelmed. What should I do?,[Response Placeholder],Relationship Issues,Emotional Exhaustion
How do I stop upset?,[Response Placeholder],Social Anxiety,Perfectionism
How can I get over hopeless?,[Response Placeholder],Social Anxiety,Trouble Concentrating
What should I do when guilty?,[Response Placeholder],Anxiety,Insomnia
Can you help me with insecure?,[Response Placeholder],Anger,Decision-Making
How do I deal with unloved?,[Response Placeholder],Anger,Social Isolation
What are some ways to manage insecure?,[Response Placeholder],Guilt,Self-Worth
How can I handle insecure in my life?,[Response Placeholder],Anxiety,Decision-Making
How do I stop worthless?,[Response Placeholder],Sadness,Perfectionism
How do I deal with sad?,[Response Placeholder],Depression,Feeling Unsupported
Why does nervous feel so overwhelming?,[Response Placeholder],Relationship Issues,Work Stress
How can I cope with guilty?,[Response Placeholder],Anxiety,Trouble Concentrating
Can you help me with hopeless?,[Response Placeholder],Panic Attacks,Self-Worth
How do I deal with nervous?,[Response Placeholder],Relationship Issues,Emotional Exhaustion
Why does hopeless feel so overwhelming?,[Response Placeholder],Relationship Issues,Overthinking
Can you help me with angry?,[Response Placeholder],Loneliness,Insomnia
How do I deal with worried?,[Response Placeholder],Guilt,Feeling Unsupported
What should I do when anxious?,[Response Placeholder],Depression,Self-Worth
What should I do when overwhelmed?,[Response Placeholder],Burnout,Feeling Unsupported
How can I cope with lonely?,[Response Placeholder],Social Anxiety,Decision-Making
What should I do when overwhelmed?,[Response Placeholder],Social Anxiety,Future Uncertainty
I'm struggling with hopeless. Can you help?,[Response Placeholder],Stress,Self-Worth
What can I do when I'm feeling anxious?,[Response Placeholder],Sleep Problems,Work Stress
How can I get over guilty?,[Response Placeholder],Grief,Overthinking
What should I do when worried?,[Response Placeholder],Self-Esteem,Emotional Exhaustion
Can you help me with sad?,[Response Placeholder],Loneliness,Perfectionism
Why does guilty feel so overwhelming?,[Response Placeholder],Panic Attacks,Regret
What can I do when fearful affects me?,[Response Placeholder],Depression,Overthinking
How can I handle nervous in my life?,[Response Placeholder],Panic Attacks,Work Stress
How can I handle overwhelmed in my life?,[Response Placeholder],Burnout,Fear of Rejection
How do I deal with angry?,[Response Placeholder],Grief,Fear of Rejection
I'm struggling with lonely. Can you help?,[Response Placeholder],Social Anxiety,Regret
How can I get over overwhelmed?,[Response Placeholder],Sadness,Feeling Unsupported
How do I stop worried?,[Response Placeholder],Fear,Future Uncertainty
I'm struggling with sad. Can you help?,[Response Placeholder],Fear,Decision-Making
What should I do when nervous?,[Response Placeholder],Fear,Emotional Exhaustion
How can I get over worried?,[Response Placeholder],Guilt,Social Isolation
How can I cope with fearful?,[Response Placeholder],Sleep Problems,Perfectionism
What can I do when I'm feeling worthless?,[Response Placeholder],Social Anxiety,Decision-Making
What can I do when I'm feeling unloved?,[Response Placeholder],Sleep Problems,Regret
Why do I feel guilty?,[Response Placeholder],Social Anxiety,Overthinking
How can I get over worthless?,[Response Placeholder],Grief,Body Image Issues
How do I stop fearful?,[Response Placeholder],Sleep Problems,Self-Worth
How can I cope with worried?,[Response Placeholder],Depression,Insomnia
How can I get over worried?,[Response Placeholder],Loneliness,Procrastination
Why do I always feel upset?,[Response Placeholder],Sleep Problems,Emotional Exhaustion
Why do I always feel anxious?,[Response Placeholder],Panic Attacks,Insomnia
What can I do when I'm feeling insecure?,[Response Placeholder],Anxiety,Future Uncertainty
Can you help me with anxious?,[Response Placeholder],Grief,Future Uncertainty
How do I stop stressed?,[Response Placeholder],Loneliness,Overthinking
What can I do when nervous affects me?,[Response Placeholder],Loneliness,Feeling Unsupported
What can I do when I'm feeling overwhelmed?,[Response Placeholder],Anxiety,Trouble Concentrating
Can you help me with hopeless?,[Response Placeholder],Relationship Issues,Body Image Issues
Can you help me with guilty?,[Response Placeholder],Social Anxiety,Body Image Issues
How can I cope with stressed?,[Response Placeholder],Social Anxiety,Feeling Unsupported
Why does nervous feel so overwhelming?,[Response Placeholder],Panic Attacks,Perfectionism
How do I stop insecure?,[Response Placeholder],Sadness,Insomnia
What should I do when angry?,[Response Placeholder],Self-Esteem,Insomnia
What can I do when I'm feeling insecure?,[Response Placeholder],Social Anxiety,Overthinking
What can I do when I'm feeling nervous?,[Response Placeholder],Anger,Work Stress
How can I get over unloved?,[Response Placeholder],Sadness,Decision-Making
Why do I feel unloved?,[Response Placeholder],Sadness,Social Isolation
Can you help me with anxious?,[Response Placeholder],Panic Attacks,Overthinking
I can't stop feeling lonely. What should I do?,[Response Placeholder],Relationship Issues,Procrastination
How can I handle hopeless in my life?,[Response Placeholder],Grief,Fear of Rejection
Can you help me with overwhelmed?,[Response Placeholder],Burnout,Work Stress
How can I get over sad?,[Response Placeholder],Grief,Fear of Rejection
How do I deal with upset?,[Response Placeholder],Self-Esteem,Fear of Rejection
Why does insecure feel so overwhelming?,[Response Placeholder],Anxiety,Procrastination
How do I deal with guilty?,[Response Placeholder],Burnout,Regret
What can I do when guilty affects me?,[Response Placeholder],Anxiety,Procrastination
I'm struggling with anxious. Can you help?,[Response Placeholder],Guilt,Decision-Making
Why do I always feel overwhelmed?,[Response Placeholder],Sadness,Perfectionism
I'm struggling with hopeless. Can you help?,[Response Placeholder],Anger,Perfectionism
Why do I feel upset?,[Response Placeholder],Anxiety,Fear of Rejection
Why do I always feel fearful?,[Response Placeholder],Sleep Problems,Social Isolation
How can I get over hopeless?,[Response Placeholder],Panic Attacks,Feeling Unsupported
I can't stop feeling angry. What should I do?,[Response Placeholder],Panic Attacks,Procrastination
Why does worried feel so overwhelming?,[Response Placeholder],Burnout,Future Uncertainty
How can I cope with angry?,[Response Placeholder],Loneliness,Self-Worth
How can I cope with fearful?,[Response Placeholder],Depression,Emotional Exhaustion
What are some ways to manage guilty?,[Response Placeholder],Self-Esteem,Feeling Unsupported
Why do I always feel fearful?,[Response Placeholder],Loneliness,Decision-Making
Can you help me with nervous?,[Response Placeholder],Anger,Work Stress
Why do I feel upset?,[Response Placeholder],Guilt,Future Uncertainty
What can I do when I'm feeling sad?,[Response Placeholder],Sadness,Work Stress
How can I get over unloved?,[Response Placeholder],Burnout,Social Isolation
What can I do when I'm feeling insecure?,[Response Placeholder],Burnout,Feeling Unsupported
What can I do when overwhelmed affects me?,[Response Placeholder],Social Anxiety,Work Stress
What can I do when worried affects me?,[Response Placeholder],Loneliness,Body Image Issues
What are some ways to manage insecure?,[Response Placeholder],Relationship Issues,Feeling Unsupported
How do I stop hopeless?,[Response Placeholder],Self-Esteem,Social Isolation
What can I do when I'm feeling unloved?,[Response Placeholder],Relationship Issues,Fear of Rejection
How can I cope with insecure?,[Response Placeholder],Social Anxiety,Feeling Unsupported
How do I deal with angry?,[Response Placeholder],Grief,Insomnia
What are some ways to manage anxious?,[Response Placeholder],Grief,Self-Worth
What should I do when unloved?,[Response Placeholder],Sleep Problems,Procrastination
Why does upset feel so overwhelming?,[Response Placeholder],Loneliness,Perfectionism
I can't stop feeling unloved. What should I do?,[Response Placeholder],Panic Attacks,Self-Worth
Why does angry feel so overwhelming?,[Response Placeholder],Grief,Decision-Making
Can you help me with stressed?,[Response Placeholder],Stress,Social Isolation
What can I do when overwhelmed affects me?,[Response Placeholder],Sleep Problems,Future Uncertainty
I can't stop feeling insecure. What should I do?,[Response Placeholder],Depression,Trouble Concentrating
How do I stop stressed?,[Response Placeholder],Stress,Self-Worth
How can I handle guilty in my life?,[Response Placeholder],Fear,Procrastination
How do I stop guilty?,[Response Placeholder],Depression,Perfectionism
How do I stop sad?,[Response Placeholder],Anger,Perfectionism
I can't stop feeling sad. What should I do?,[Response Placeholder],Stress,Body Image Issues
What should I do when nervous?,[Response Placeholder],Depression,Procrastination
How can I cope with anxious?,[Response Placeholder],Burnout,Future Uncertainty
Why does insecure feel so overwhelming?,[Response Placeholder],Self-Esteem,Overthinking
Why does nervous feel so overwhelming?,[Response Placeholder],Grief,Feeling Unsupported
I'm struggling with fearful. Can you help?,[Response Placeholder],Panic Attacks,Insomnia
Can you help me with overwhelmed?,[Response Placeholder],Panic Attacks,Trouble Concentrating
Can you help me with stressed?,[Response Placeholder],Anxiety,Trouble Concentrating
I'm struggling with nervous. Can you help?,[Response Placeholder],Loneliness,Future Uncertainty
How can I cope with overwhelmed?,[Response Placeholder],Relationship Issues,Body Image Issues
Why do I always feel sad?,[Response Placeholder],Fear,Fear of Rejection
Can you help me with worthless?,[Response Placeholder],Burnout,Insomnia
How can I cope with unloved?,[Response Placeholder],Stress,Work Stress
What should I do when sad?,[Response Placeholder],Panic Attacks,Body Image Issues
I'm struggling with sad. Can you help?,[Response Placeholder],Loneliness,Self-Worth
What should I do when upset?,[Response Placeholder],Relationship Issues,Trouble Concentrating
What can I do when stressed affects me?,[Response Placeholder],Fear,Perfectionism
Why does upset feel so overwhelming?,[Response Placeholder],Grief,Decision-Making
I can't stop feeling upset. What should I do?,[Response Placeholder],Self-Esteem,Work Stress
How do I deal with worthless?,[Response Placeholder],Social Anxiety,Trouble Concentrating
I can't stop feeling fearful. What should I do?,[Response Placeholder],Grief,Future Uncertainty
How do I deal with guilty?,[Response Placeholder],Social Anxiety,Trouble Concentrating
How do I stop stressed?,[Response Placeholder],Panic Attacks,Insomnia
What should I do when lonely?,[Response Placeholder],Guilt,Regret
Why does fearful feel so overwhelming?,[Response Placeholder],Guilt,Feeling Unsupported
Can you help me with nervous?,[Response Placeholder],Grief,Insomnia
What should I do when upset?,[Response Placeholder],Anxiety,Overthinking
What are some ways to manage anxious?,[Response Placeholder],Panic Attacks,Emotional Exhaustion
Why do I feel insecure?,[Response Placeholder],Relationship Issues,Future Uncertainty
Why does sad feel so overwhelming?,[Response Placeholder],Stress,Perfectionism
How can I cope with insecure?,[Response Placeholder],Grief,Body Image Issues
How can I cope with stressed?,[Response Placeholder],Loneliness,Regret
How can I get over angry?,[Response Placeholder],Guilt,Perfectionism
What can I do when lonely affects me?,[Response Placeholder],Loneliness,Trouble Concentrating
How can I handle insecure in my life?,[Response Placeholder],Anxiety,Work Stress
Why do I feel fearful?,[Response Placeholder],Loneliness,Body Image Issues
How can I handle worried in my life?,[Response Placeholder],Self-Esteem,Decision-Making
How can I get over sad?,[Response Placeholder],Panic Attacks,Fear of Rejection
Why do I always feel nervous?,[Response Placeholder],Anger,Overthinking
Can you help me with anxious?,[Response Placeholder],Sadness,Overthinking
What can I do when I'm feeling angry?,[Response Placeholder],Anxiety,Decision-Making
How can I cope with angry?,[Response Placeholder],Sleep Problems,Perfectionism
Why do I feel worthless?,[Response Placeholder],Panic Attacks,Fear of Rejection
How can I get over overwhelmed?,[Response Placeholder],Relationship Issues,Overthinking
What should I do when worried?,[Response Placeholder],Burnout,Trouble Concentrating
How do I stop angry?,[Response Placeholder],Social Anxiety,Work Stress
What are some ways to manage angry?,[Response Placeholder],Loneliness,Feeling Unsupported
How do I stop unloved?,[Response Placeholder],Panic Attacks,Work Stress
Can you help me with overwhelmed?,[Response Placeholder],Sleep Problems,Perfectionism
Why does nervous feel so overwhelming?,[Response Placeholder],Relationship Issues,Feeling Unsupported
What can I do when I'm feeling overwhelmed?,[Response Placeholder],Relationship Issues,Insomnia
Can you help me with hopeless?,[Response Placeholder],Anger,Work Stress
Why do I always feel guilty?,[Response Placeholder],Sleep Problems,Emotional Exhaustion
How can I get over nervous?,[Response Placeholder],Self-Esteem,Body Image Issues
Why do I feel fearful?,[Response Placeholder],Sleep Problems,Regret
Why does upset feel so overwhelming?,[Response Placeholder],Depression,Emotional Exhaustion
Can you help me with insecure?,[Response Placeholder],Fear,Fear of Rejection
What can I do when I'm feeling anxious?,[Response Placeholder],Sleep Problems,Trouble Concentrating
How do I stop sad?,[Response Placeholder],Relationship Issues,Procrastination
What can I do when I'm feeling lonely?,[Response Placeholder],Guilt,Future Uncertainty
Why does unloved feel so overwhelming?,[Response Placeholder],Social Anxiety,Body Image Issues
What can I do when I'm feeling guilty?,[Response Placeholder],Relationship Issues,Procrastination
How can I cope with fearful?,[Response Placeholder],Sleep Problems,Emotional Exhaustion
Why does worthless feel so overwhelming?,[Response Placeholder],Self-Esteem,Regret
Why do I feel worthless?,[Response Placeholder],Grief,Work Stress
How can I cope with angry?,[Response Placeholder],Relationship Issues,Procrastination
How can I get over worried?,[Response Placeholder],Grief,Emotional Exhaustion
Why do I feel insecure?,[Response Placeholder],Depression,Procrastination
How do I stop worthless?,[Response Placeholder],Grief,Procrastination
Why does fearful feel so overwhelming?,[Response Placeholder],Guilt,Trouble Concentrating
What can I do when I'm feeling sad?,[Response Placeholder],Stress,Regret
What should I do when fearful?,[Response Placeholder],Social Anxiety,Overthinking
How do I deal with unloved?,[Response Placeholder],Grief,Overthinking
I'm struggling with guilty. Can you help?,[Response Placeholder],Fear,Trouble Concentrating
How can I handle insecure in my life?,[Response Placeholder],Stress,Procrastination
Why do I always feel worried?,[Response Placeholder],Self-Esteem,Body Image Issues
I'm struggling with worried. Can you help?,[Response Placeholder],Sleep Problems,Trouble Concentrating
What can I do when stressed affects me?,[Response Placeholder],Guilt,Future Uncertainty
What are some ways to manage anxious?,[Response Placeholder],Sleep Problems,Procrastination
How do I stop sad?,[Response Placeholder],Self-Esteem,Self-Worth
I'm struggling with fearful. Can you help?,[Response Placeholder],Panic Attacks,Procrastination
Why does lonely feel so overwhelming?,[Response Placeholder],Grief,Decision-Making
How do I stop sad?,[Response Placeholder],Relationship Issues,Social Isolation
I'm struggling with anxious. Can you help?,[Response Placeholder],Sadness,Fear of Rejection
What can I do when I'm feeling sad?,[Response Placeholder],Anxiety,Self-Worth
Why does worried feel so overwhelming?,[Response Placeholder],Sadness,Decision-Making
I can't stop feeling unloved. What should I do?,[Response Placeholder],Relationship Issues,Body Image Issues
How can I cope with stressed?,[Response Placeholder],Burnout,Regret
What can I do when I'm feeling upset?,[Response Placeholder],Sleep Problems,Fear of Rejection
What are some ways to manage worthless?,[Response Placeholder],Depression,Emotional Exhaustion
What can I do when fearful affects me?,[Response Placeholder],Burnout,Regret
What can I do when anxious affects me?,[Response Placeholder],Depression,Future Uncertainty
Why do I always feel lonely?,[Response Placeholder],Burnout,Insomnia
I'm struggling with anxious. Can you help?,[Response Placeholder],Fear,Self-Worth
How can I get over hopeless?,[Response Placeholder],Self-Esteem,Overthinking
How do I deal with worried?,[Response Placeholder],Anxiety,Emotional Exhaustion
Why do I feel anxious?,[Response Placeholder],Self-Esteem,Perfectionism
What can I do when fearful affects me?,[Response Placeholder],Loneliness,Decision-Making
How do I deal with lonely?,[Response Placeholder],Depression,Decision-Making
What can I do when I'm feeling lonely?,[Response Placeholder],Relationship Issues,Body Image Issues
How can I get over hopeless?,[Response Placeholder],Relationship Issues,Emotional Exhaustion
How can I cope with nervous?,[Response Placeholder],Loneliness,Social Isolation
Why do I feel fearful?,[Response Placeholder],Social Anxiety,Work Stress
What can I do when unloved affects me?,[Response Placeholder],Guilt,Self-Worth
How do I deal with lonely?,[Response Placeholder],Depression,Fear of Rejection
What can I do when I'm feeling fearful?,[Response Placeholder],Burnout,Social Isolation
What are some ways to manage guilty?,[Response Placeholder],Loneliness,Self-Worth
How can I handle angry in my life?,[Response Placeholder],Relationship Issues,Self-Worth
I can't stop feeling upset. What should I do?,[Response Placeholder],Sadness,Fear of Rejection
I'm struggling with fearful. Can you help?,[Response Placeholder],Panic Attacks,Regret
What are some ways to manage lonely?,[Response Placeholder],Sleep Problems,Perfectionism
What can I do when fearful affects me?,[Response Placeholder],Depression,Perfectionism
Can you help me with lonely?,[Response Placeholder],Sleep Problems,Insomnia
What can I do when angry affects me?,[Response Placeholder],Panic Attacks,Work Stress
How do I deal with unloved?,[Response Placeholder],Sadness,Fear of Rejection
Why do I feel guilty?,[Response Placeholder],Loneliness,Trouble Concentrating
How do I stop lonely?,[Response Placeholder],Loneliness,Overthinking
Why do I feel worried?,[Response Placeholder],Guilt,Regret
Why do I always feel guilty?,[Response Placeholder],Depression,Trouble Concentrating
What can I do when I'm feeling worthless?,[Response Placeholder],Self-Esteem,Social Isolation
How do I stop lonely?,[Response Placeholder],Self-Esteem,Feeling Unsupported
How do I deal with worried?,[Response Placeholder],Fear,Emotional Exhaustion
How can I get over stressed?,[Response Placeholder],Stress,Perfectionism
How do I stop overwhelmed?,[Response Placeholder],Sadness,Future Uncertainty
What are some ways to manage worried?,[Response Placeholder],Depression,Self-Worth
How do I stop hopeless?,[Response Placeholder],Guilt,Social Isolation
Why do I always feel anxious?,[Response Placeholder],Panic Attacks,Insomnia
How can I cope with insecure?,[Response Placeholder],Depression,Procrastination
What can I do when I'm feeling worried?,[Response Placeholder],Stress,Body Image Issues
Why does unloved feel so overwhelming?,[Response Placeholder],Loneliness,Body Image Issues
How can I cope with worthless?,[Response Placeholder],Depression,Self-Worth
How can I cope with unloved?,[Response Placeholder],Self-Esteem,Procrastination
I'm struggling with angry. Can you help?,[Response Placeholder],Anger,Perfectionism
